Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1764122352.505727,11906,0,1
1,NewOrder,1764122352.517722,15031,0,1
1,NewOrder,1764122352.532777,11989,0,1
1,NewOrder,1764122352.544802,6601,0,1
5,StockLevel,1764122352.551436,6265,0,1
2,Payment,1764122352.557726,4159,0,1
1,NewOrder,1764122352.561902,9972,0,1
1,NewOrder,1764122352.571902,11697,0,1
2,Payment,1764122352.583629,2502,0,1
1,NewOrder,1764122352.586198,8616,0,1
4,Delivery,1764122352.594845,21546,0,1
2,Payment,1764122352.616427,4109,0,1
2,Payment,1764122352.620569,3941,0,1
1,NewOrder,1764122352.624541,5863,0,1
2,Payment,1764122352.630437,3008,0,1
1,NewOrder,1764122352.633475,4478,0,1
2,Payment,1764122352.637977,4469,0,1
2,Payment,1764122352.642477,3219,0,1
1,NewOrder,1764122352.645724,6122,0,1
2,Payment,1764122352.651863,2579,0,1
1,NewOrder,1764122352.654471,7757,0,1
1,NewOrder,1764122352.662257,3764,0,1
2,Payment,1764122352.666040,2491,0,1
5,StockLevel,1764122352.668563,4657,0,1
1,NewOrder,1764122352.673246,9132,0,1
2,Payment,1764122352.682408,2540,0,1
1,NewOrder,1764122352.684979,4134,0,1
1,NewOrder,1764122352.689142,4697,0,1
2,Payment,1764122352.693871,3346,0,1
5,StockLevel,1764122352.697248,3175,0,1
3,OrderStatus,1764122352.700450,2761,0,1
1,NewOrder,1764122352.703231,6391,0,1
1,NewOrder,1764122352.709651,4226,0,1
2,Payment,1764122352.713922,2668,0,1
2,Payment,1764122352.716620,1757,0,1
1,NewOrder,1764122352.718388,5096,0,1
2,Payment,1764122352.723516,2401,0,1
2,Payment,1764122352.725937,1749,0,1
2,Payment,1764122352.727714,2555,0,1
1,NewOrder,1764122352.730288,4731,0,1
1,NewOrder,1764122352.735044,4602,0,1
1,NewOrder,1764122352.739666,2964,0,1
1,NewOrder,1764122352.742647,3692,0,1
1,NewOrder,1764122352.746381,3336,0,1
1,NewOrder,1764122352.749738,2899,0,1
1,NewOrder,1764122352.752678,4168,0,1
2,Payment,1764122352.756881,2133,0,1
2,Payment,1764122352.759052,2164,0,1
1,NewOrder,1764122352.761237,5117,0,1
2,Payment,1764122352.766385,2598,0,1
1,NewOrder,1764122352.769003,6123,0,1
1,NewOrder,1764122352.775142,6747,0,1
1,NewOrder,1764122352.781903,5557,0,1
1,NewOrder,1764122352.787480,4438,0,1
1,NewOrder,1764122352.791933,5783,0,1
2,Payment,1764122352.797752,2221,0,1
1,NewOrder,1764122352.800010,6089,0,1
1,NewOrder,1764122352.806133,3791,0,1
1,NewOrder,1764122352.809944,3066,0,1
1,NewOrder,1764122352.813023,4566,0,1
2,Payment,1764122352.817619,3150,0,1
1,NewOrder,1764122352.820802,3688,0,1
2,Payment,1764122352.824520,2085,0,1
1,NewOrder,1764122352.826626,4906,0,1
2,Payment,1764122352.831584,2425,0,1
2,Payment,1764122352.834044,3069,0,1
2,Payment,1764122352.837133,2263,0,1
1,NewOrder,1764122352.839408,4335,0,1
1,NewOrder,1764122352.843773,3326,0,1
2,Payment,1764122352.847126,1494,0,1
4,Delivery,1764122352.848631,9250,0,1
2,Payment,1764122352.857915,1782,0,1
2,Payment,1764122352.859720,2089,0,1
2,Payment,1764122352.861837,2496,0,1
2,Payment,1764122352.864370,3236,0,1
1,NewOrder,1764122352.867627,6204,0,1
1,NewOrder,1764122352.873865,4110,0,1
4,Delivery,1764122352.878008,7710,0,1
2,Payment,1764122352.885745,3143,0,1
1,NewOrder,1764122352.888928,4105,0,1
1,NewOrder,1764122352.893065,4705,0,1
1,NewOrder,1764122352.897812,3084,0,1
4,Delivery,1764122352.900928,8401,0,1
1,NewOrder,1764122352.909357,4460,0,1
3,OrderStatus,1764122352.913839,1094,0,1
1,NewOrder,1764122352.914944,3677,0,1
3,OrderStatus,1764122352.918652,1124,0,1
1,NewOrder,1764122352.919806,2308,0,1
1,NewOrder,1764122352.922127,4733,0,1
3,OrderStatus,1764122352.926889,1173,0,1
2,Payment,1764122352.928074,1375,0,1
1,NewOrder,1764122352.929460,4391,0,1
2,Payment,1764122352.933887,2121,0,1
1,NewOrder,1764122352.936041,6131,0,1
2,Payment,1764122352.942192,1421,0,1
2,Payment,1764122352.943621,2018,0,1
5,StockLevel,1764122352.945683,2520,0,1
1,NewOrder,1764122352.948216,3667,0,1
2,Payment,1764122352.951898,2109,0,1
1,NewOrder,1764122352.954026,2496,0,1
1,NewOrder,1764122352.956558,1899,0,1
1,NewOrder,1764122352.958469,3664,0,1
2,Payment,1764122352.962144,1654,0,1
2,Payment,1764122352.963826,1584,0,1
1,NewOrder,1764122352.965427,3960,0,1
5,StockLevel,1764122352.969407,3055,0,1
1,NewOrder,1764122352.972495,3940,0,1
2,Payment,1764122352.976467,6200,0,1
2,Payment,1764122352.982689,1461,0,1
5,StockLevel,1764122352.984162,1202,0,1
1,NewOrder,1764122352.985374,4496,0,1
2,Payment,1764122352.989915,2055,0,1
2,Payment,1764122352.991999,1451,0,1
3,OrderStatus,1764122352.993461,902,0,1
1,NewOrder,1764122352.994383,6133,0,1
2,Payment,1764122353.000529,1666,0,1
2,Payment,1764122353.002203,3250,0,1
1,NewOrder,1764122353.005492,3401,0,1
2,Payment,1764122353.008920,2032,0,1
2,Payment,1764122353.010975,2022,0,1
1,NewOrder,1764122353.013038,6206,0,1
1,NewOrder,1764122353.019263,5080,0,1
1,NewOrder,1764122353.024386,4685,0,1
1,NewOrder,1764122353.029098,3746,0,1
2,Payment,1764122353.032880,2185,0,1
1,NewOrder,1764122353.035087,5895,0,1
2,Payment,1764122353.041029,2244,0,1
2,Payment,1764122353.043306,2021,0,1
2,Payment,1764122353.045346,1769,0,1
1,NewOrder,1764122353.047129,2769,0,1
4,Delivery,1764122353.049910,6774,0,1
1,NewOrder,1764122353.056701,3326,0,1
2,Payment,1764122353.060041,1186,0,1
2,Payment,1764122353.061234,1357,0,1
3,OrderStatus,1764122353.062599,873,0,1
1,NewOrder,1764122353.063484,3622,0,1
2,Payment,1764122353.067123,2651,0,1
2,Payment,1764122353.069814,1825,0,1
1,NewOrder,1764122353.071667,2566,0,1
2,Payment,1764122353.074252,1252,0,1
1,NewOrder,1764122353.075516,3766,0,1
1,NewOrder,1764122353.079315,3679,0,1
2,Payment,1764122353.083013,1826,0,1
1,NewOrder,1764122353.084864,6570,0,1
1,NewOrder,1764122353.091454,2779,0,1
2,Payment,1764122353.094242,1283,0,1
1,NewOrder,1764122353.095537,3102,0,1
1,NewOrder,1764122353.098648,2286,0,1
2,Payment,1764122353.100979,3008,0,1
1,NewOrder,1764122353.104018,4994,0,1
2,Payment,1764122353.109048,2341,0,1
5,StockLevel,1764122353.111419,2277,0,1
2,Payment,1764122353.113732,1803,0,1
2,Payment,1764122353.115557,2399,0,1
2,Payment,1764122353.117993,1794,0,1
3,OrderStatus,1764122353.119818,1343,0,1
2,Payment,1764122353.121186,2514,0,1
2,Payment,1764122353.123732,2039,0,1
1,NewOrder,1764122353.125798,3939,0,1
2,Payment,1764122353.129777,2118,0,1
2,Payment,1764122353.131918,1840,0,1
2,Payment,1764122353.133770,1292,0,1
1,NewOrder,1764122353.135071,4994,0,1
1,NewOrder,1764122353.140087,4488,0,1
1,NewOrder,1764122353.144608,4763,0,1
2,Payment,1764122353.149380,1280,0,1
2,Payment,1764122353.150668,1627,0,1
1,NewOrder,1764122353.152309,3540,0,1
