Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.200,7.168,3.995,5.970,6.935,8.027,9.114,9.898,21.546,21.546,0.140
5,15.200,6.166,4.470,5.398,6.203,6.716,7.245,8.083,10.359,10.359,0.162
10,18.000,6.111,4.200,5.407,6.119,6.777,7.466,7.758,8.288,8.288,0.164
15,15.000,6.095,3.680,5.386,6.163,6.724,7.347,7.490,8.508,8.508,0.164
20,16.000,6.203,4.259,5.379,6.150,6.957,7.615,7.939,8.648,8.648,0.161
25,20.800,6.018,3.764,5.407,6.066,6.640,7.232,7.487,8.309,8.335,0.166
30,17.600,6.116,4.272,5.559,6.206,6.719,7.116,7.515,8.564,8.564,0.164
35,18.400,6.338,4.129,5.465,6.451,7.029,7.661,8.004,8.667,8.667,0.158
40,18.200,6.066,3.988,5.368,6.055,6.747,7.124,7.442,9.565,9.565,0.165
45,18.000,6.632,4.191,5.955,6.545,7.134,8.306,8.876,10.687,10.687,0.151
50,14.800,6.846,4.957,6.005,6.738,7.535,8.334,9.178,10.896,10.896,0.146
55,16.600,6.029,4.459,5.338,6.023,6.594,7.277,7.708,8.071,8.071,0.166
