Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,164.200,3.506,1.607,2.694,3.279,4.038,4.880,5.598,7.757,15.031,0.285
5,190.800,3.125,0.988,2.520,3.045,3.641,4.298,4.615,5.358,9.399,0.320
10,193.600,3.038,0.855,2.443,2.927,3.523,4.087,4.448,5.048,6.147,0.329
15,198.600,3.026,1.044,2.430,2.909,3.565,4.107,4.474,5.128,7.294,0.330
20,195.200,3.021,0.925,2.456,2.907,3.518,4.107,4.457,5.186,6.017,0.331
25,189.400,3.034,0.718,2.433,2.920,3.582,4.162,4.427,5.012,6.497,0.330
30,194.000,3.009,0.968,2.442,2.907,3.497,4.069,4.389,5.053,6.961,0.332
35,195.400,2.978,1.139,2.426,2.845,3.484,4.059,4.302,5.132,9.469,0.336
40,200.200,2.960,1.125,2.379,2.870,3.483,4.037,4.344,4.812,5.699,0.338
45,186.600,3.049,1.076,2.474,2.939,3.560,4.105,4.422,5.022,6.153,0.328
50,186.000,3.277,0.977,2.638,3.167,3.869,4.341,4.715,5.667,8.583,0.305
55,194.000,3.095,1.388,2.495,2.997,3.647,4.217,4.547,5.120,5.804,0.323
