Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.200,0.627,0.212,0.417,0.534,0.760,1.038,1.226,2.761,2.761,1.594
5,17.600,0.415,0.216,0.327,0.403,0.494,0.575,0.675,0.806,0.806,2.407
10,19.600,0.366,0.148,0.279,0.361,0.427,0.516,0.596,0.880,0.880,2.733
15,18.600,0.372,0.185,0.269,0.330,0.404,0.564,0.716,1.062,1.062,2.690
20,18.800,0.386,0.195,0.291,0.368,0.424,0.563,0.643,1.170,1.170,2.591
25,18.000,0.361,0.186,0.268,0.317,0.413,0.555,0.648,1.071,1.071,2.768
30,17.800,0.352,0.173,0.270,0.336,0.386,0.462,0.535,1.067,1.067,2.841
35,15.400,0.353,0.208,0.267,0.319,0.385,0.517,0.621,0.942,0.942,2.832
40,20.600,0.333,0.143,0.253,0.295,0.410,0.473,0.571,0.744,0.804,3.001
45,16.200,0.359,0.188,0.272,0.335,0.413,0.541,0.599,0.989,0.989,2.783
50,15.200,0.367,0.183,0.277,0.332,0.414,0.553,0.686,0.938,0.938,2.726
55,17.800,0.330,0.158,0.263,0.308,0.372,0.503,0.537,0.680,0.680,3.031
