Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,154.400,1.740,0.903,1.367,1.581,1.895,2.244,2.668,5.741,11.906,0.575
5,183.800,1.454,0.923,1.248,1.415,1.623,1.842,2.014,2.236,2.825,0.688
10,174.200,1.444,0.835,1.229,1.408,1.612,1.828,1.954,2.348,3.008,0.693
15,186.000,1.439,0.893,1.227,1.405,1.604,1.828,1.968,2.287,2.905,0.695
20,184.000,1.443,0.900,1.221,1.395,1.588,1.820,2.026,2.519,5.759,0.693
25,179.600,1.424,0.863,1.219,1.376,1.568,1.801,1.994,2.442,3.567,0.702
30,184.600,1.427,0.875,1.229,1.385,1.583,1.778,1.940,2.309,5.401,0.701
35,188.200,1.397,0.910,1.198,1.363,1.540,1.771,1.887,2.179,3.399,0.716
40,187.600,1.379,0.872,1.181,1.344,1.517,1.747,1.897,2.256,2.610,0.725
45,184.600,1.452,0.925,1.235,1.409,1.592,1.838,1.973,2.424,5.350,0.689
50,159.400,1.567,0.923,1.311,1.480,1.696,1.964,2.144,5.122,5.671,0.638
55,172.200,1.476,0.911,1.258,1.420,1.622,1.872,2.150,2.691,3.567,0.677
