Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.600,2.060,1.140,1.454,1.840,2.463,3.055,3.573,6.265,6.265,0.485
5,15.200,1.987,1.102,1.432,1.949,2.372,2.638,2.959,4.211,4.211,0.503
10,18.400,2.094,1.186,1.542,2.112,2.464,2.757,3.099,3.931,3.931,0.478
15,14.400,2.008,1.033,1.460,1.998,2.431,2.700,3.047,3.461,3.461,0.498
20,16.400,2.124,1.193,1.562,2.164,2.577,3.172,3.369,3.800,3.800,0.471
25,17.400,2.041,1.137,1.461,2.028,2.368,2.760,3.542,4.223,4.223,0.490
30,18.400,1.883,1.093,1.444,1.828,2.166,2.560,2.848,3.467,3.467,0.531
35,16.400,1.817,1.068,1.373,1.709,2.103,2.514,2.762,4.381,4.381,0.550
40,14.200,2.008,1.152,1.574,1.883,2.365,2.827,3.204,4.365,4.365,0.498
45,17.600,1.929,1.088,1.503,1.870,2.354,2.552,2.843,3.673,3.673,0.518
50,13.400,2.258,1.256,1.829,2.157,2.714,3.025,3.200,3.826,3.826,0.443
55,17.000,2.091,1.202,1.529,1.959,2.432,2.732,3.506,4.307,4.307,0.478
