Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,364.600,2.729,0.212,1.550,2.288,3.422,4.726,6.069,8.616,21.546,0.366
5,422.600,2.354,0.216,1.385,1.997,3.092,4.032,4.776,6.670,10.359,0.425
10,423.800,2.349,0.148,1.393,2.051,3.052,3.978,4.767,6.816,8.288,0.426
15,432.600,2.302,0.185,1.383,1.968,2.990,3.926,4.564,6.705,8.508,0.434
20,430.400,2.315,0.195,1.371,2.032,2.996,3.939,4.669,6.913,8.648,0.432
25,425.200,2.346,0.186,1.364,2.033,3.078,4.052,4.850,6.691,8.335,0.426
30,432.400,2.303,0.173,1.366,1.942,2.991,3.924,4.654,6.725,8.564,0.434
35,433.800,2.297,0.208,1.349,1.920,2.914,3.926,4.651,7.066,9.469,0.435
40,440.800,2.262,0.143,1.327,1.940,2.967,3.883,4.609,6.747,9.565,0.442
45,423.000,2.355,0.188,1.388,1.970,3.047,3.984,4.733,7.148,10.687,0.425
50,388.800,2.563,0.183,1.480,2.256,3.336,4.263,5.173,7.546,10.896,0.390
55,417.600,2.385,0.158,1.414,2.126,3.101,4.073,4.766,6.594,8.071,0.419
