workload,bufferSize,MRU,Random,FIFO,LFU,LRU1,LRU2-0,LRU2-5,LRU2-20,LRU2-40,LRU2-80,LRU2-200,LRU2-500,LRU2-1000,LRU3-0,LRU3-5,LRU3-20,LRU3-40,LRU3-80,LRU3-200,LRU3-500,LRU3-1000
random,50,0.9502,0.9471,0.9484,0.9508,0.9484,0.9516,0.951,0.951,0.9506,0.95,0.9512,0.9497,0.9497,0.9452,0.9453,0.9447,0.946,0.9501,0.9512,0.9497,0.9497
random,100,0.898,0.9018,0.9007,0.9022,0.8988,0.8998,0.8992,0.8995,0.8979,0.8992,0.8972,0.8999,0.9043,0.8984,0.8982,0.8967,0.8972,0.8991,0.8972,0.8999,0.9043
random,150,0.8489,0.8534,0.8481,0.8536,0.848,0.8521,0.8516,0.8507,0.8502,0.8519,0.8472,0.8434,0.848,0.849,0.8482,0.8481,0.8456,0.8491,0.8471,0.8434,0.848
random,200,0.8043,0.799,0.7974,0.8028,0.798,0.8044,0.8037,0.8033,0.8014,0.8037,0.7981,0.7944,0.7948,0.8022,0.8003,0.7979,0.7959,0.7966,0.7972,0.7944,0.7948
random,250,0.7554,0.7508,0.7528,0.757,0.7498,0.7529,0.7527,0.7521,0.7509,0.7514,0.7511,0.7467,0.7461,0.756,0.7552,0.755,0.7531,0.7496,0.7505,0.7467,0.7461
random,300,0.7049,0.7093,0.7052,0.7084,0.7068,0.7052,0.7051,0.7037,0.7025,0.7022,0.7032,0.7044,0.7034,0.7072,0.7062,0.706,0.7049,0.7023,0.6999,0.7045,0.7034
random,350,0.6597,0.6605,0.6595,0.6579,0.6582,0.6581,0.6582,0.6575,0.656,0.6547,0.6535,0.6545,0.6531,0.6571,0.6561,0.6552,0.6551,0.6533,0.6528,0.6544,0.6531
random,400,0.6083,0.6069,0.6149,0.6135,0.6085,0.6098,0.6099,0.6083,0.6071,0.6064,0.6071,0.6082,0.6056,0.6119,0.6115,0.6116,0.6115,0.6076,0.6054,0.6081,0.6065
random,450,0.5621,0.5694,0.5618,0.5681,0.5624,0.5656,0.5656,0.5634,0.5625,0.5616,0.56,0.5618,0.5587,0.565,0.5646,0.5644,0.5654,0.562,0.5603,0.5612,0.5585
scan,50,0.955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.956,0.9951,0.9955,0.9972,0.9995,1.0,1.0,1.0,0.956
scan,100,0.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9109,0.9901,0.9905,0.992,0.994,0.998,1.0,1.0,0.9109
scan,150,0.865,0.9987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8659,0.9851,0.9855,0.987,0.989,0.993,1.0,1.0,0.8659
scan,200,0.82,0.993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8209,0.9801,0.9805,0.982,0.984,0.988,1.0,1.0,0.8209
scan,250,0.775,0.981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7759,0.9751,0.9755,0.977,0.979,0.983,0.995,1.0,0.7759
scan,300,0.73,0.9639,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7309,0.9701,0.9705,0.972,0.9741,0.9785,0.9964,1.0,0.7309
scan,350,0.685,0.936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6859,0.9651,0.9655,0.967,0.9693,0.9738,0.9894,1.0,0.6859
scan,400,0.64,0.8994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6409,0.9601,0.9605,0.962,0.9644,0.9687,0.9821,1.0,0.6409
scan,450,0.595,0.8616,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5959,0.9551,0.9555,0.957,0.9597,0.964,0.9751,1.0,0.5959
gaussian,50,0.9385,0.9173,0.918,0.8908,0.9151,0.9033,0.9049,0.9107,0.9138,0.9154,0.9162,0.9139,0.9112,0.9006,0.9033,0.9089,0.9144,0.9152,0.9162,0.9139,0.9112
gaussian,100,0.8777,0.8367,0.8341,0.7853,0.8336,0.8134,0.8144,0.8165,0.819,0.8256,0.8371,0.7933,0.779,0.806,0.8081,0.8137,0.8195,0.8298,0.8371,0.7933,0.779
gaussian,150,0.8149,0.7585,0.7598,0.6849,0.7532,0.7251,0.7258,0.7295,0.7317,0.7399,0.7395,0.7843,0.8447,0.7153,0.7175,0.7203,0.726,0.7372,0.7392,0.7843,0.8447
gaussian,200,0.7541,0.6912,0.6846,0.5944,0.6755,0.643,0.6428,0.6442,0.6458,0.6548,0.6707,0.6688,0.7476,0.6309,0.6328,0.6323,0.6376,0.6494,0.6727,0.6688,0.7476
gaussian,250,0.7008,0.6088,0.6129,0.5068,0.6031,0.562,0.562,0.5626,0.5633,0.5723,0.5869,0.5702,0.6362,0.5434,0.5445,0.546,0.5487,0.5605,0.5838,0.5703,0.6362
gaussian,300,0.6395,0.5481,0.5455,0.4242,0.5249,0.4798,0.4799,0.4815,0.481,0.4894,0.5033,0.515,0.5282,0.4682,0.4702,0.4709,0.475,0.4829,0.503,0.515,0.5282
gaussian,350,0.588,0.477,0.4794,0.3523,0.4573,0.407,0.4077,0.409,0.4097,0.4144,0.4273,0.454,0.4345,0.3934,0.3939,0.3962,0.3997,0.4056,0.4173,0.4539,0.4345
gaussian,400,0.5321,0.4196,0.4223,0.2928,0.3879,0.3404,0.3405,0.3424,0.3413,0.3457,0.3538,0.3892,0.3611,0.3204,0.3229,0.3237,0.3258,0.3296,0.3439,0.392,0.3619
gaussian,450,0.4731,0.3635,0.3689,0.2398,0.3247,0.2782,0.2791,0.2798,0.2795,0.2819,0.2931,0.3226,0.3075,0.2646,0.2648,0.2652,0.266,0.2701,0.2806,0.3252,0.3081
postgres_trace_tpcc,50,0.792518,0.237404,0.216809,0.383816,0.1985055,0.216017,0.221268,0.216596,0.213707,0.197469,0.244378,0.418133,0.5661855,0.259388,0.257016,0.2447775,0.2303795,0.199077,0.2438985,0.41811,0.566179
postgres_trace_tpcc,100,0.7870095,0.18963,0.176444,0.3312635,0.1605805,0.191468,0.196243,0.189824,0.1835265,0.1690495,0.157223,0.1929735,0.2739845,0.22648,0.2254135,0.211805,0.197197,0.1715895,0.155164,0.192572,0.2740355
postgres_trace_tpcc,150,0.782196,0.169145,0.1609935,0.3003905,0.148498,0.172691,0.178961,0.172338,0.165934,0.1526175,0.1413395,0.158207,0.200577,0.204112,0.2043415,0.1922165,0.179176,0.155649,0.136998,0.1564675,0.2002285
postgres_trace_tpcc,200,0.776629,0.155606,0.150216,0.278674,0.139383,0.157551,0.1651905,0.1588015,0.152533,0.140482,0.128804,0.133913,0.1608165,0.1860515,0.1874435,0.176296,0.164459,0.1429335,0.124103,0.1318245,0.1594585
postgres_trace_tpcc,250,0.771492,0.1455425,0.1416205,0.260819,0.1315205,0.145117,0.153557,0.146968,0.140741,0.1297125,0.118279,0.12183,0.140104,0.170989,0.1729545,0.1626185,0.1517005,0.1317795,0.113645,0.118637,0.1382405
postgres_trace_tpcc,300,0.767395,0.136817,0.1345715,0.2466995,0.1246175,0.1341235,0.142668,0.13658,0.13069,0.120464,0.109674,0.1121995,0.122539,0.1575355,0.160474,0.151002,0.1408565,0.122402,0.1049205,0.1084455,0.120262
postgres_trace_tpcc,350,0.762829,0.1291035,0.127746,0.2343905,0.117306,0.1240725,0.1332335,0.1272045,0.1216615,0.1124645,0.10224,0.1041115,0.1106725,0.145814,0.149669,0.1408745,0.1314265,0.1141505,0.097275,0.1000095,0.107921
postgres_trace_tpcc,400,0.7571565,0.1225145,0.1214685,0.22376,0.1107095,0.115442,0.124853,0.1192705,0.1139095,0.105353,0.0957565,0.0970525,0.1013475,0.1361405,0.140126,0.1317895,0.122919,0.10665,0.0907175,0.092642,0.0978055
postgres_trace_tpcc,450,0.7516435,0.1165015,0.1151955,0.2142995,0.1044515,0.108148,0.1175165,0.1119895,0.1068505,0.098929,0.08952,0.0905665,0.0937965,0.127271,0.131122,0.1232285,0.1151925,0.0998315,0.0849135,0.086332,0.090122
postgres_trace_tpcc_medium_concurrency,50,0.806442,0.2535085,0.235508,0.4316505,0.2247805,0.2597905,0.2491335,0.2402145,0.236407,0.2356825,0.3134305,0.493087,0.6030165,0.289422,0.267107,0.259395,0.2537115,0.244185,0.3128445,0.493093,0.603016
postgres_trace_tpcc_medium_concurrency,100,0.794434,0.198554,0.1801505,0.3546455,0.1691545,0.195117,0.1970135,0.195453,0.1930815,0.187673,0.185951,0.238258,0.379258,0.233704,0.2296225,0.2247975,0.2190565,0.2049555,0.1841025,0.237831,0.3792
postgres_trace_tpcc_medium_concurrency,150,0.7834535,0.17209,0.159475,0.3083855,0.148197,0.1670385,0.1731295,0.172602,0.17004,0.1646155,0.152945,0.17364,0.236224,0.2014305,0.2024585,0.198566,0.193251,0.179782,0.14917,0.1712795,0.236277
postgres_trace_tpcc_medium_concurrency,200,0.772295,0.154668,0.1462615,0.27854,0.1342215,0.1464795,0.154774,0.1542295,0.151557,0.146292,0.1351975,0.137117,0.179743,0.1765445,0.180569,0.1770595,0.1721045,0.159461,0.13097,0.134048,0.178445
postgres_trace_tpcc_medium_concurrency,250,0.7617155,0.1412155,0.1360895,0.2564295,0.1231515,0.1300905,0.1397455,0.1390245,0.1364815,0.1316265,0.1212605,0.1149995,0.146191,0.1567335,0.162804,0.1594565,0.1546665,0.1431125,0.116684,0.1110345,0.144263
postgres_trace_tpcc_medium_concurrency,300,0.7505865,0.1302535,0.1264765,0.2380005,0.1138175,0.1170575,0.127301,0.126421,0.1239465,0.119543,0.109961,0.1028945,0.115767,0.1409785,0.1480095,0.144874,0.140349,0.129557,0.105189,0.0980285,0.113537
postgres_trace_tpcc_medium_concurrency,350,0.7410395,0.121387,0.117909,0.2223835,0.104843,0.1062445,0.116868,0.116064,0.1137915,0.1096175,0.100571,0.093086,0.098221,0.127949,0.135491,0.132278,0.1280095,0.1180615,0.0959185,0.0882415,0.095176
